LABEL,Date,Source,Title,Headline,Sentiment_Label
Immigration,2025-01-23,NPR,Trump wants to end birthright citizenship That s easier said than done,Trump executive orders moves birthright citizenship right enshrined Constitution Here what need know about legal principle possible future,Positive
Immigration,2025-02-04,BBC News,Trump faces moment of reckoning on trade after delaying tariffs,president will soon have decide whether match trade rhetoric with action shelve tariff plans,Positive
Immigration,2025-02-04,NPR,The first group of migrants has been sent to Guant namo but legal challenges loom,President Trump aims deport migrant detainees holding facility there despite questionable legality that move,Negative
Immigration,2025-01-23,ABC News,DHS allows US Marshals DEA and ATF to carry out immigration enforcement,Department Homeland Security allowing certain enforcement components from Department Justice carry functions immigration officer,Positive
Immigration,2025-01-23,ABC News,DOJ orders legal service providers to stop providing support at immigration courts,Department Justice told legal service providers receive federal funding stop providing legal orientation immigrants immigration courts,Positive
Immigration,2025-01-14,BBC News,Three arrested in Iraq over alleged UK people smuggling links,National Crime Agency officers were deployed Iraq assist with arrests first operation kind,Positive
Immigration,2025-01-29,Time,Trump Plans to Sign the Laken Riley Act Into Law as His Administration s First Legislation,Wednesday Trump will sign Laken Riley into administration first piece legislation,Positive
Immigration,2025-01-27,Business Insider,New Zealand makes it easier for digital nomads to work as it tries to aid its struggling economy,Zealand making easier tourists work remotely while visiting country part efforts help stagnating economy,Negative
Immigration,2025-01-26,BBC News,Confident organised still freewheeling Trump shows lessons have been learned,Donald Trump first week office shows returned with plan knows avoid some chaos first term,Positive
Immigration,2025-01-29,ABC News,Florida lawmakers pass sweeping immigration bill to help with Trump crackdown,Florida lawmakers have passed sweeping immigration bill setting aside half billion dollars public funds help carry President Donald Trump crackdown people country illegally,Negative
Immigration,2025-02-05,BBC News,India s Modi to visit US and meet Trump next week,leaders share cordial relations experts concerns over tariffs illegal immigration might strain bilateral ties,Negative
Immigration,2025-02-01,ABC News,Rubio to focus on curbing immigration countering China in Latin America,Marco Rubio embark first diplomatic mission abroad since being confirmed post visiting five countries Central South America,Positive
Immigration,2025-02-03,Business Insider,One industry just got a big boost from Trump and it wasn t crypto or Tesla,president mass deportation plans could funnel huge profits private prison companies like CoreCivic,Positive
Immigration,2025-01-21,Le Monde,En direct investiture de Donald Trump retrait de l accord de Paris gr ce pour les meutiers du Janvier immigration les premiers d crets d j sign s,chef Etat ricain gren priorit dans discours avoir serment Capitole immigration Green Deal contr canal Panama,Negative
Immigration,2025-01-30,Gizmodo.com,After Priest Owner Mimics Elon Musk s Salute Staff at Gaming News Site Quit,website GodisaGeek owned Calvin Robinson right priest went viral imitating Elon Musk with Nazi like salute anti abortion summit,Positive
Immigration,2025-02-02,BBC News,Around protest against far right in Berlin,protests came after some parties voted alongside right party Alternative Germany over binding resolution immigration last week,Positive
Immigration,2025-01-25,Yahoo Entertainment,ICE arrests member of Haitian street gang with numerous convictions in Boston,officers Boston have arrested Haitian street gang member with numerous convictions illegally,Negative
Immigration,2025-01-29,ABC News,Trump plans to sign the Laken Riley Act into law as his administration s first piece of legislation,President Donald Trump plans sign Laken Riley into administration first piece legislation,Positive
Immigration,2025-01-21,NPR,Chicago immigrant residents are in Trump s sights The mayor says he ll defend them,Chicago Mayor Brandon Johnson says city will defend residents whether undocumented whether seeking asylum whether seeking good paying,Positive
Immigration,2025-01-20,BBC News,Five takeaways from Trump s first speech,Trump vowed return country golden plant American flag Mars,Positive
Immigration,2025-01-21,Business Insider,states sued to block Trump s push to end birthright citizenship which could impact hundreds of thousands of children each year,states sued block Trump executive order ending birthright citizenship which could impact many children each year,Positive
Citizenship,2025-02-05,BBC News,I d make it harder to get British citizenship says Badenoch,Conservative leader says people shouldn able apply citizenship least years,Positive
Citizenship,2025-01-23,NPR,U S judge temporarily blocks Trump s birthright citizenship order,ruling bars agencies from implementing order birthright citizenship children born migrants temporarily without legal status while case under review,Positive
Citizenship,2025-01-21,NPR,Democratic AGs sue over Trump s order to end birthright citizenship,group state attorneys general signed lawsuit filed Tuesday seeking block administration move describing unconstitutional,Positive
Citizenship,2025-01-21,Business Insider,states sued to block Trump s push to end birthright citizenship which could impact hundreds of thousands of children each year,states sued block Trump executive order ending birthright citizenship which could impact many children each year,Positive
Citizenship,2025-01-23,NPR,Trump wants to end birthright citizenship That s easier said than done,Trump executive orders moves birthright citizenship right enshrined Constitution Here what need know about legal principle possible future,Positive
Citizenship,2025-01-23,Yahoo Entertainment,A federal judge temporarily blocks Trump s executive order redefining birthright citizenship,federal judge Thursday temporarily blocked President Donald Trump executive order redefining birthright citizenship calling blatantly,Negative
Citizenship,2025-01-20,BBC News,Trump to declare national emergency at US Mexico border in flurry of day one orders,incoming president plans sign many executive orders administration begins,Positive
Citizenship,2025-01-23,ABC News,As Trump throws immigration into uncertainty parents grapple potential statelessness,Five undocumented pregnant women President Donald Trump over birthright citizenship executive order,Positive
Citizenship,2025-02-05,ABC News,Judge to consider future of Trump s order blocking birthright citizenship,federal judge Maryland consider whether President Trump will able redefine birthright citizenship stated Fourteenth Amendment,Positive
Citizenship,2025-01-21,ABC News,states challenge Trump s executive order cutting birthright citizenship,President Trump birthright citizenship flagrantly unlawful attorneys states said lawsuit challenging president executive order,Positive
Citizenship,2025-02-03,ABC News,Trump s order seeking to block birthright citizenship to face next legal hurdle,President Trump executive order seeking birthright citizenship will face next legal hurdle this week when three separate judges hold hearings issue,Positive
Citizenship,2025-01-19,NPR,hostages are expected to be released by Hamas as part of a ceasefire with Israel,There women children list released from Gaza citizens Israel free hundreds prisoners exchange them,Positive
Citizenship,2025-02-07,BBC News,Johnson UK s most damaging PM says Reform UK chief,Yusuf tells Political Thinking podcast Johnson would welcome join Reform,Positive
Citizenship,2025-01-21,NPR,Trump is back and ready to change America,Donald Trump returns Washington newly empowered Republican party remade itself image Supreme Court granted sweeping immunity official actions unlike last time narrowly popular vote,Positive
Citizenship,2025-01-28,NPR,All the executive orders Trump has signed after week in office,President Trump signed slew orders during first week office impacting policy immigration environment federal diversity programs more,Positive
Citizenship,2025-01-25,Yahoo Entertainment,Trump s attempt to end birthright citizenship would overturn more than a century of precedent,President Donald Trump said since first administration that wants birthright citizenship constitutional right everyone born,Positive
Citizenship,2025-02-05,NPR,Homeland Security s workforce might not be as big as Trump s immigration goals,Changes hiring retention practices grew department people four years former officials warn that still enough Trump ambitious policy goals,Positive
Citizenship,2025-02-08,Business Insider,Trump and Musk said these bold moves were imminent Now they re stuck in the mud,Trump administration promised swift moving changes While some those plans have progressed many were almost immediately hold,Positive
Citizenship,2025-01-20,NPR,All of the Day executive actions Trump has announced so far,Trump expected sign slew actions relating immigration other issues,Negative
Citizenship,2025-01-15,NPR,FBI background checks of presidential nominees explained,Confirmation hearings Cabinet members nominated President elect Trump underway conducts background checks focusing character conduct nominees What involved,Positive
Citizenship,2025-01-26,NPR,DeSantis faces pushback by fellow Republicans on his call for an immigration session,Republican leaders state legislature they support President Trump pledge combat illegal immigration want deal with other issues identified DeSantis their schedule,Negative
Citizenship,2025-01-25,NPR,Senate confirms Kristi Noem as Trump s Secretary of Homeland Security,Noem will charge executing President Trump biggest priorities second term cracking down immigration,Negative
Citizenship,2025-01-25,ABC News,Trump testing limits of presidential power but experts say his flex might not stick,Legal experts tell News that sheer number presidential executive orders unprecedented whether they will stick guaranteed,Positive
Citizenship,2025-01-21,Vox,The Logoff Trump attacks birthright citizenship,This story first Logoff Sign here stories like this delivered your inbox every weekday Good evening welcome first edition Logoff newsletter that gives Trump news need that,Positive
Citizenship,2025-02-07,Business Insider,Judge blocks Trump Musk s shutdown of USAID,Judge Carl Nichols blocked Donald Trump Elon Musk attempted USAID shutdown days after American Foreign Service Association filed lawsuit,Negative
Citizenship,2025-01-20,ABC News,What to know about Trump s immigration and border executive actions,Trump promises sign executive actions address immigration border security Some will likely spark legal battles,Positive
Citizenship,2025-01-17,NPR,Trump s cabinet pick for Homeland Security is Kristi Noem Here s what to know,confirmed Noem would lead department poised center Trump immigration policy priorities including deportation efforts visa changes border security,Positive
Citizenship,2025-01-23,NPR,Bishop Mariann Budde tells NPR I won t apologize for sermon addressing Trump,Episcopal bishop Washington spoke with discuss sermon addressing President Trump asked have mercy,Negative
Citizenship,2025-02-01,NPR,A U S dual citizen is among Israeli hostages exchanged for Palestinian prisoners,Siegel first American released part this deal total hostages have been released since ceasefire took effect Hundreds Palestinians have been released,Positive
Citizenship,2025-01-30,NPR,Census Bureau Director Robert Santos is resigning making way for Trump s pick,Census Bureau Director Robert Santos resigning giving President Trump early opportunity nominate appointee lead bureau during preparations census,Positive
Citizenship,2025-02-04,BBC News,Could US criminals be sent to El Salvador s mega jail,Salvador offered take criminals deported from house them mega jail,Negative
Citizenship,2025-01-23,Al Jazeera English,US judge blocks Trump s order restricting birthright citizenship,Trump order targets constitutional right automatically granting citizenship anyone born country,Positive
Citizenship,2025-02-06,Al Jazeera English,Which countries other than the US offer birthright citizenship,least countries mostly Americas provide automatic citizenship anyone born within their borders,Positive
Citizenship,2025-01-21,Al Jazeera English,First raft of lawsuits target US birthright citizenship other Trump orders,Donald Trump signs record executive orders second term first including effort restrict citizenship,Positive
Citizenship,2025-01-22,The Intercept,The Pregnant Immigrants Fighting Trump s Bid to End Birthright Citizenship,Trump hopes birthright citizenship executive order lawsuits filed across country immigrants seek stop post Pregnant Immigrants Fighting Trump Birthright Citizenship appeared first Intercept,Positive
Citizenship,2025-01-22,Al Jazeera English,Trump scraps birthright citizenship Who will it affect,Trump supporters programme been misused several Democrat states file legal challenge,Positive
Citizenship,2025-01-24,Al Jazeera English,Trump latest JFK killing files released birthright citizenship bar halted,also delve into latest from Davos cryptocurrency other executive orders,Positive
Citizenship,2025-01-22,ABC News,Trump s record breaking executive actions on Day already being challenged,President Donald Trump shattered record most executive orders signed first office,Positive
Citizenship,2025-01-25,ABC News,WATCH Houston zoo animals play in the snow,Some animals enjoying rare Texas snowfall including Asian elephant capybaras otters lions Lisa leopard,Positive
Citizenship,2025-01-21,ABC News,With the stroke of the pen Trump tries to remake America ANALYSIS,With half country firmly behind blessing America tech billionaires President Donald moving breakneck pace remake America,Negative
Citizenship,2025-01-27,Yahoo Entertainment,Woman gets more than year prison term for helping pregnant Chinese women get to US,California woman sentenced Monday more than years prison long running case over business that helped pregnant Chinese women travel,Positive
Citizenship,2025-01-31,Flowingdata.com,Census Bureau director resigns edition,Census Bureau director Robert Santos announced resignation Thursday Santos nationally recognized statistician first Latino head bureau joined federal governm,Positive
Citizenship,2025-01-13,NPR,What to know about the Israel and Hamas Gaza ceasefire and hostage release talks,basic framework officials familiar with talks exchange Israeli hostages Palestinian prisoners week ceasefire Mediators applying pressure parties,Positive
Citizenship,2025-01-21,Business Insider,Trump s mass deportation plan could drain more than billion a year from Social Security,President Donald Trump mass deportation plans could have significant economic side effect draining Social Security funding,Positive
Citizenship,2025-02-01,Spectrum News,Lawyers see increase in people cutting ties with US,Lawyers increase people cutting ties with Third column story link Related stories Applying Canadian citizenship Drudge Report Feed needs your support Become Patron,Negative
Citizenship,2025-01-28,Vox,The one big question looming over Trump s power grabs,Much what Donald Trump done first eight days back White House legally unjustifiable What uncertain whether Supreme Court will anything stop particularly egregious cases Trump ordered birthright,Positive
Citizenship,2025-02-07,Yahoo Entertainment,Another DOGE Staffer Resigns After Secret Racist X Posts Revealed,Another DOGE Staffer Resigns After Secret Racist Posts Revealed First column story link Related stories DOGE Teen Owns Tesla Sexy Worked Startup That Hired Convicted Hackers Cheney Swipes Elon Citizenshi,Positive
Citizenship,2025-01-29,CBC News,Trump s attempt to overturn birthright citizenship uses century old Native American case,Indigenous people worried President Donald Trump attempt birthright citizenship constitutional right using century case that denied citizenship Native American,Positive
Citizenship,2025-02-05,The New Republic,Trump s Extreme Birthright Citizenship Order Shut Down in Court Again,Another federal judge blocked Trump brutal attack birthright citizenship Wednesday District Judge Deborah Boardman filed preliminary injunction against Trump executive order which promise signed into action first,Negative
Citizenship,2025-01-20,Business Insider,Trump is about to be sworn in Here are all the changes he has promised to make on Day One,Like predecessors Trump little first Inauguration Eight years later Trump promised full executive orders,Positive
Citizenship,2025-01-21,NPR,Key actions from Trump s first day in office And insights from the inaugural speech,After President Trump sworn into second term yesterday kept many promises implemented orders also undone several predecessor actions Here breakdown,Positive
Citizenship,2025-02-04,NPR,The prospect of immigration agents entering schools is sending shockwaves among communities,President Trump decades policy that prevented agents from arresting migrants without legal status sensitive places such schools Most districts drawing line sand,Positive
Citizenship,2025-02-09,Business Insider,The economics and innovation behind modern warfare,this Sunday edition Business Insider Today showing cover business military defense,Negative
Citizenship,2025-01-21,BBC News,Olympic history maker Ngamba to turn professional,Olympic medal winner Cindy Ngamba will make professional debut boxing March,Positive
Citizenship,2025-01-24,Gothamist,Mayor Adams office disputes Council claim he had no plan for Trump immigration actions,Council Speaker Adrienne Adams said city prepared Trump Council Speaker Adrienne Adams also urged mayor office join fight against president order birthright citizenship more,Positive
Citizenship,2025-01-26,The Atlantic,A Weekend Reading List,Read about secretive world extreme fishing approaches aging more,Positive
Citizenship,2025-02-09,Forbes,JD Vance Suggests Judges Aren t Allowed To Control Trump After Courts Block His Policies,slew court rulings recent weeks have hampered Trump administration moves issues like birthright citizenship shutting down USAID,Negative
Citizenship,2025-01-25,Quartz India,Bitcoin s coming boom Trump s stock and meme coin sink and Netflix hits Markets news roundup,Christopher McMahon Aquinas Wealth Advisors author Faithful Finances spoke with Quartz latest installment Smart Investing video series Read more,Positive
Citizenship,2025-01-24,Forbes,Forbes Daily Jamie Dimon Defends DEI Efforts Amid Trump s Crackdown,Friday Forbes Daily covers Bloomberg climate pledge judge blocks Trump birthright citizenship Oscar nominations unveiled OpenAI latest tool more,Positive
Border Security,2025-02-06,Wired,Tariff Uncertainty Taxes the Auto Industry,some industry uncertainty surrounding border trade almost worse than tariffs themselves tariffs through costs might passed down buyers,Negative
Border Security,2025-01-17,NPR,Trump s cabinet pick for Homeland Security is Kristi Noem Here s what to know,confirmed Noem would lead department poised center Trump immigration policy priorities including deportation efforts visa changes border security,Positive
Border Security,2025-01-25,NPR,Senate confirms Kristi Noem as Trump s Secretary of Homeland Security,Noem will charge executing President Trump biggest priorities second term cracking down immigration,Negative
Border Security,2025-02-04,BBC News,Trump faces moment of reckoning on trade after delaying tariffs,president will soon have decide whether match trade rhetoric with action shelve tariff plans,Positive
Border Security,2025-01-23,BBC News,Canada can avoid tariffs by becoming a US state says Trump,president complains tremendous trade deficit with neighbour saying does need Canadian energy vehicles lumber,Positive
Border Security,2025-01-31,Slashdot.org,Taiwan Says Government Departments Should Not Use DeepSeek Citing Security Concerns,anonymous reader shares report Taiwan digital ministry said Friday that government departments should Chinese startup DeepSeek artificial intelligence service saying that product from China represents security concern,Negative
Border Security,2025-01-20,ABC News,What to know about Trump s immigration and border executive actions,Trump promises sign executive actions address immigration border security Some will likely spark legal battles,Positive
Border Security,2025-01-20,NPR,Migrants left in despair at the border as asylum system shuts down,provided nearly people with asylum appointments since January contributing drop illegal border crossings,Negative
Border Security,2025-01-25,ABC News,Kristi Noem confirmed as secretary of homeland security,South Dakota Kristi Noem firebrand gained national spotlight during coronavirus pandemic confirmed Senate,Positive
Border Security,2025-02-06,ABC News,With House GOP stuck Senate pushes ahead with its plan to fund Trump s agenda,Senate Budget chair Graham wants plow forward funding package that bundles border security defense spending House continues struggle with plan,Positive
Border Security,2025-01-14,ABC News,Monthly border encounters decrease to lowest daily average since July,Daily encounters December along southwest border were lowest average since July according Department Homeland Security,Negative
Border Security,2025-02-05,NPR,Homeland Security s workforce might not be as big as Trump s immigration goals,Changes hiring retention practices grew department people four years former officials warn that still enough Trump ambitious policy goals,Positive
Border Security,2025-01-20,NPR,All of the Day executive actions Trump has announced so far,Trump expected sign slew actions relating immigration other issues,Negative
Border Security,2025-02-07,Business Insider,I almost lost my Global Entry status over a mistake anyone could easily make,easy make airport mistake involving fruit Customs Border Protection almost cost money made lose Global Entry status,Positive
Border Security,2025-01-20,NPR,Trump reinforces use of his Remain in Mexico policy,policy which created implemented during first Trump administration resulted tens thousands migrants waiting extended periods Mexico,Positive
Border Security,2025-01-21,Business Insider,Trump s mass deportation plan could drain more than billion a year from Social Security,President Donald Trump mass deportation plans could have significant economic side effect draining Social Security funding,Positive
Border Security,2025-02-04,Business Insider,Trump got what he wanted with the Canada and Mexico tariff pauses even if he didn t get that much,Trump slapped tariffs Canadian Mexican imports pressure them crack down illegal immigration fentanyl They caved,Negative
Border Security,2025-01-26,ABC News,Trump s border czar If you re in the country illegally you got a problem,According Trump border czar Homan every undocumented immigrant should worry they could arrested time even they have criminal record,Negative
Border Security,2025-02-01,Time,Trump s Tariffs on Canada Mexico and China Could Mean Higher Inflation and Economic Disruption,Trump honoring promises made White House campaign that core economic national security philosophy,Positive
Border Security,2025-01-24,NPR,Trump wants to label drug cartels terrorist organizations Here s what that means in practice,full implications designating cartels terrorist organizations will depend large part administration follows through,Positive
Border Security,2025-01-31,ABC News,Trump border wall is on New Mexico ranchers wish list,Mexico couple hopes Trump administration makes good promise completing construction border wall,Positive
Border Security,2025-01-11,BBC News,Germany says Russian shadow ship stuck in Baltic Sea,Germany foreign minister accused Moscow deploying fleet rusty tankers avoid sanctions,Negative
Border Security,2025-01-27,BBC News,A long long road ahead Gaza rebuilds from zero,full scale humanitarian challenge ahead emerging displaced Palestinians return home writes Paul Adams,Positive
Border Security,2025-01-28,ABC News,DHS Secretary Kristi Noem joins immigration enforcement operations in NYC,Kristi Noem joined operations just days after confirmed Senate lead Department Homeland Security,Positive
Border Security,2025-01-31,NPR,things to know about the fighting in the Democratic Republic of Congo,Rwandan backed rebels they control eastern Congolese city Goma Their fighters continue claim more territory world most mineral rich territories,Positive
Border Security,2025-02-05,BBC News,I d make it harder to get British citizenship says Badenoch,Conservative leader says people shouldn able apply citizenship least years,Positive
Border Security,2025-01-13,BBC News,What are the challenges facing the government s AI action plan,Keir Starmer unveiled proposals which says will make great superpowers,Positive
Border Security,2025-01-26,The Atlantic,A Quieter Border Didn t Serve Trump s Needs,president would rather exploit free than manage migrant flows effectively,Positive
Border Security,2025-01-17,BBC News,Israel has changed since Donald Trump s last term has he,this time hard choices Middle East president elect will have much think about when enters White House,Positive
Border Security,2025-01-18,ABC News,Post inauguration ICE raids starting as soon as Tuesday Sources,part President elect Donald Trump deportation plans will carry raids starting Tuesday sources briefed plans told News,Positive
Border Security,2025-01-21,NPR,Trump orders end of humanitarian parole for migrants of four countries,Under Biden administration migrants from embattled countries could apply entry humanitarian reasons without having attempt cross into illegally,Negative
Border Security,2025-01-30,NPR,Trump says U S will send worst criminal illegal aliens to Guant namo Bay,president says criminal migrants deported from United States could housed facility Cuba wasn immediately clear plan would implemented,Negative
Border Security,2025-02-05,Time,What to Know About Security Measures at the Super Bowl in New Orleans,After Year terror attack struck Orleans historic French Quarter city officials they confident security plans they have place Sunday Super Bowl,Positive
Border Security,2025-02-08,NPR,Trump supporters welcome the first steps in his immigration crackdown,President Trump kicked second term with dramatic crackdown immigration Critics call those moves cruel unnecessary many Trump supporters applauding these early steps,Negative
Border Security,2025-01-21,Time,Breaking Down All of Trump s Day Presidential Actions,Trump issued executive orders memoranda proclamations first back Oval Office Here what know,Positive
Border Security,2025-01-25,Business Insider,Trump says he could send US special operators after Mexican drug cartels It could make things a lot worse,There potential role special operations forces combating cartels getting this wrong could create more problems,Positive
Border Security,2025-02-01,CNET,One Tiny iPhone Feature Shows Apple s Big Plans For Your Smart Home,Apple preparing release wave home technology Here getting ready,Positive
Border Security,2025-01-29,NPR,Trump signs first bill of his second presidency the Laken Riley Act into law,bill named Georgia nursing student killed last year Venezuelan without legal status criminal record,Negative
Border Security,2025-01-20,Slate Magazine,He Was Horrifying in Trump s First Term He s About to Get Even Worse,broad latitude what wants,Positive
Border Security,2025-01-29,The Atlantic,Caring Deeply About National Security Is Not the Same as Being Good at It,Some Trump cabinet picks sincere their beliefs That doesn make them these roles,Positive
Border Security,2025-01-28,TMZ,OnlyFans Star Lily Phillips Plan to Screw K Dudes Derailed by U S Border Security,OnlyFans star Lily Phillips rethinking plan screw dudes hours telling Customs Border Protection recently threw wrench ambitious sexcapade Lily tells detained Vegas airport last,Positive
Border Security,2025-02-09,Business Insider,US military troops come in active duty Guard and reserve forces Here s what each one does,military forces home abroad different types troops rules each confusing,Negative
Border Security,2025-01-18,NPR,These are the U S citizens held hostage in Gaza,Seven nearly hostages held Gaza citizens several whom confirmed dead,Positive
Border Security,2025-01-20,BBC News,UN warning on Gaza rebuilding task as aid surges with ceasefire deal,Unrwa Gaza director says rebuilding homes infrastructure people lives will take awful time,Negative
Border Security,2025-02-02,BBC News,Canadian fans boo US anthem as tariffs spur buy local pledge,Canadians have begun booing anthem sports games signalling depth anger steep tariffs,Negative
Border Security,2025-02-01,NPR,Prices were a key issue in but Trump makes clear they re not his top priority,While prices economy were issues during campaign President Trump making clear that other issues most notably immigration main focus start second term,Positive
Border Security,2025-01-27,Yahoo Entertainment,China signals willingness to repatriate confirmed Chinese nationals from US,WASHINGTON Reuters China said Monday willing repatriate confirmed Chinese nationals from United States President Donald Trump,Positive
Border Security,2025-02-07,BBC News,Casinos high rises and fraud The BBC visits a city built on scams,haven super rich city built scams invited find,Positive
Border Security,2025-02-03,ABC News,China renews threat to retaliate against US tariffs,China reiterated could take necessary countermeasures after President Donald Trump decided impose tariff China allegedly doing little stem production precursor chemicals drug fentanyl,Negative
Border Security,2025-01-20,Business Insider,What Lebanon s shifting political landscape means for Hezbollah,Hezbollah Lebanon most powerful political players been significantly weakened conflict with Israel,Positive
Border Security,2025-02-04,Time,Trump Shares the Founders Delusions on Canada,Attempts Canada have gone poorly since Trump rhetoric threatens repeat,Negative
Border Security,2025-02-04,Time,U S Aid Freeze Puts at Risk Ukraine s Wartime Help for Frontline Evacuees,American funding helps cover shelters fuel evacuation vehicles salaries workers more,Positive
DEI,2025-01-10,Slashdot.org,Meta Kills DEI Programs,Mark Zuckerberg Meta terminating major programs effective immediately including hiring training picking suppliers Axios Meta said changing course because legal policy landscape surrounding diversity equity inclusio,Positive
DEI,2025-01-23,Harvard Business Review,What Comes After DEI,While backlash challenged many companies practitioners approach creating more equitable workplaces fewer have considered whether work itself room improve framework built around core outcomes fairness access incl,Positive
DEI,2025-01-24,NPR,Costco s shareholders overwhelmingly reject anti DEI proposal,Costco shareholders voted overwhelmingly reject motion that would seek report risks diversity equity inclusion company hiring practices,Positive
DEI,2025-01-23,Business Insider,Costco shareholders reject anti DEI proposal,Costco shareholders voted down anti proposal just days after President Trump issued sweeping rules federal agencies,Negative
DEI,2025-01-11,Slashdot.org,Amazon To Halt Some of Its DEI Programs,Amazon said halting some diversity inclusion initiatives joining growing list major corporations that have made similar moves face increasing public legal scrutiny From report internal note staffers,Positive
